Input, Output, y_pred, diff, diff.power
3.299999952316284,1.7000000476837158,4.583683490753174,2.883683443069458,8.315630199832924
4.400000095367432,2.759999990463257,5.827711582183838,3.067711591720581,9.410854409976821
5.5,2.0899999141693115,7.071739673614502,4.9817399978637695,24.81773340631571
6.710000038146973,3.190000057220459,8.440171241760254,5.250171184539795,27.564297466971993
6.929999828338623,1.694000005722046,8.688976287841797,6.994976043701172,48.9296898519533
4.168000221252441,1.5729999542236328,5.565334796905518,3.9923348426818848,15.93873749609179
9.779000282287598,3.365999937057495,11.9110107421875,8.545010566711426,73.01720558520992
6.182000160217285,2.5959999561309814,7.8430376052856445,5.247037887573242,27.53140659362907
7.590000152587891,2.5299999713897705,9.435394287109375,6.905394554138184,47.68447394832128
2.1670000553131104,1.2209999561309814,3.3023343086242676,2.081334352493286,4.331952686868647
7.041999816894531,2.8269999027252197,8.815641403198242,5.988641738891602,35.863829876794625
10.791000366210938,3.4649999141693115,13.055517196655273,9.590517044067383,91.97801717254697
5.313000202178955,1.649999976158142,6.860255241394043,5.210255146026611,27.146758686696785
7.997000217437744,2.9040000438690186,9.895685195922852,6.991684913635254,48.88365793155481
5.6539998054504395,2.4200000762939453,7.245903491973877,4.825903415679932,23.28934377747123
9.270000457763672,2.940000057220459,11.335365295410156,8.395364761352539,70.48214947615998
3.0999999046325684,1.2999999523162842,4.35749626159668,3.0574963092803955,9.34828368126324
Input, Output, y_pred, diff, diff.power
3.299999952316284,1.7000000476837158,4.124314785003662,2.4243147373199463,5.87730194558668
4.400000095367432,2.759999990463257,5.221487522125244,2.4614875316619873,6.058920868527423
5.5,2.0899999141693115,6.318660259246826,4.228660583496094,17.881570330413524
6.710000038146973,3.190000057220459,7.525550365447998,4.335550308227539,18.79699647517191
6.929999828338623,1.694000005722046,7.7449846267700195,6.0509843826293945,36.614411998824835
4.168000221252441,1.5729999542236328,4.990084171295166,3.417084217071533,11.676464546559373
9.779000282287598,3.365999937057495,10.586662292480469,7.2206621170043945,52.137961407942385
6.182000160217285,2.5959999561309814,6.998907566070557,4.402907371520996,19.385593322193927
7.590000152587891,2.5299999713897705,8.403288841247559,5.873289108276367,34.495524949397804
2.1670000553131104,1.2209999561309814,2.9942269325256348,1.7732269763946533,3.1443339098137244
7.041999816894531,2.8269999027252197,7.856697082519531,5.029697418212891,25.297856118777418
10.791000366210938,3.4649999141693115,11.596061706542969,8.131061553955078,66.11416199420637
5.313000202178955,1.649999976158142,6.13214111328125,4.482141017913818,20.08958810446552
7.997000217437744,2.9040000438690186,8.809242248535156,5.905241966247559,34.87188267993133
5.6539998054504395,2.4200000762939453,6.472264289855957,4.052264213562012,16.42084525651535
9.270000457763672,2.940000057220459,10.078970909118652,7.138970851898193,50.96490482425202
3.0999999046325684,1.2999999523162842,3.9248287677764893,2.624828815460205,6.889726310470223
Input, Output, y_pred, diff, diff.power
3.299999952316284,1.7000000476837158,3.735483169555664,2.0354831218719482,4.1431915394255725
4.400000095367432,2.759999990463257,4.708349227905273,1.9483492374420166,3.7960647510408876
5.5,2.0899999141693115,5.681214332580566,3.591214418411255,12.896820999004888
6.710000038146973,3.190000057220459,6.75136661529541,3.561366558074951,12.683331760974625
