Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,4.583683490753174,2.883683443069458
4.400000095367432,2.759999990463257,5.827711582183838,3.067711591720581
5.5,2.0899999141693115,7.071739673614502,4.9817399978637695
6.710000038146973,3.190000057220459,8.440171241760254,5.250171184539795
6.929999828338623,1.694000005722046,8.688976287841797,6.994976043701172
4.168000221252441,1.5729999542236328,5.565334796905518,3.9923348426818848
9.779000282287598,3.365999937057495,11.9110107421875,8.545010566711426
6.182000160217285,2.5959999561309814,7.8430376052856445,5.247037887573242
7.590000152587891,2.5299999713897705,9.435394287109375,6.905394554138184
2.1670000553131104,1.2209999561309814,3.3023343086242676,2.081334352493286
7.041999816894531,2.8269999027252197,8.815641403198242,5.988641738891602
10.791000366210938,3.4649999141693115,13.055517196655273,9.590517044067383
5.313000202178955,1.649999976158142,6.860255241394043,5.210255146026611
7.997000217437744,2.9040000438690186,9.895685195922852,6.991684913635254
5.6539998054504395,2.4200000762939453,7.245903491973877,4.825903415679932
9.270000457763672,2.940000057220459,11.335365295410156,8.395364761352539
3.0999999046325684,1.2999999523162842,4.35749626159668,3.0574963092803955
Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,4.124314785003662,2.4243147373199463
4.400000095367432,2.759999990463257,5.221487522125244,2.4614875316619873
5.5,2.0899999141693115,6.318660259246826,4.228660583496094
6.710000038146973,3.190000057220459,7.525550365447998,4.335550308227539
6.929999828338623,1.694000005722046,7.7449846267700195,6.0509843826293945
4.168000221252441,1.5729999542236328,4.990084171295166,3.417084217071533
9.779000282287598,3.365999937057495,10.586662292480469,7.2206621170043945
6.182000160217285,2.5959999561309814,6.998907566070557,4.402907371520996
7.590000152587891,2.5299999713897705,8.403288841247559,5.873289108276367
2.1670000553131104,1.2209999561309814,2.9942269325256348,1.7732269763946533
7.041999816894531,2.8269999027252197,7.856697082519531,5.029697418212891
10.791000366210938,3.4649999141693115,11.596061706542969,8.131061553955078
5.313000202178955,1.649999976158142,6.13214111328125,4.482141017913818
7.997000217437744,2.9040000438690186,8.809242248535156,5.905241966247559
5.6539998054504395,2.4200000762939453,6.472264289855957,4.052264213562012
9.270000457763672,2.940000057220459,10.078970909118652,7.138970851898193
3.0999999046325684,1.2999999523162842,3.9248287677764893,2.624828815460205
Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,3.735483169555664,2.0354831218719482
4.400000095367432,2.759999990463257,4.708349227905273,1.9483492374420166
5.5,2.0899999141693115,5.681214332580566,3.591214418411255
6.710000038146973,3.190000057220459,6.75136661529541,3.561366558074951
6.929999828338623,1.694000005722046,6.945940017700195,5.25193977355957
4.168000221252441,1.5729999542236328,4.503162860870361,2.9301629066467285
9.779000282287598,3.365999937057495,9.465662002563477,6.099661827087402
6.182000160217285,2.5959999561309814,6.284391403198242,3.6883914470672607
7.590000152587891,2.5299999713897705,7.529659271240234,4.999659538269043
2.1670000553131104,1.2209999561309814,2.733431577682495,1.5124316215515137
7.041999816894531,2.8269999027252197,7.044995307922363,4.217995643615723
10.791000366210938,3.4649999141693115,10.360698699951172,6.895698547363281
5.313000202178955,1.649999976158142,5.515827655792236,3.8658275604248047
7.997000217437744,2.9040000438690186,7.889619827270508,4.98561954498291
5.6539998054504395,2.4200000762939453,5.817415714263916,3.3974156379699707
9.270000457763672,2.940000057220459,9.015491485595703,6.075491428375244
3.0999999046325684,1.2999999523162842,3.558598518371582,2.258598566055298
Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,3.406357765197754,1.706357717514038
4.400000095367432,2.759999990463257,4.274003028869629,1.514003038406372
5.5,2.0899999141693115,5.1416473388671875,3.051647424697876
6.710000038146973,3.190000057220459,6.096056938171387,2.9060568809509277
6.929999828338623,1.694000005722046,6.269585609436035,4.57558536529541
4.168000221252441,1.5729999542236328,4.09100866317749,2.5180087089538574
9.779000282287598,3.365999937057495,8.516786575317383,5.150786399841309
6.182000160217285,2.5959999561309814,5.679587364196777,3.083587408065796
7.590000152587891,2.5299999713897705,6.790173053741455,4.2601728439331055
2.1670000553131104,1.2209999561309814,2.512683629989624,1.2916836738586426
7.041999816894531,2.8269999027252197,6.3579277992248535,3.530927896499634
10.791000366210938,3.4649999141693115,9.315019607543945,5.850019454956055
5.313000202178955,1.649999976158142,4.994148254394531,3.3441481590270996
7.997000217437744,2.9040000438690186,7.111201763153076,4.207201957702637
5.6539998054504395,2.4200000762939453,5.263117790222168,2.8431177139282227
9.270000457763672,2.940000057220459,8.115303993225098,5.175303936004639
3.0999999046325684,1.2999999523162842,3.2486040592193604,1.9486041069030762
Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,3.1277709007263184,1.4277708530426025
4.400000095367432,2.759999990463257,3.906350612640381,1.146350622177124
5.5,2.0899999141693115,4.684930324554443,2.594930410385132
6.710000038146973,3.190000057220459,5.54136848449707,2.3513684272766113
6.929999828338623,1.694000005722046,5.697084426879883,4.003084182739258
4.168000221252441,1.5729999542236328,3.7421412467956543,2.1691412925720215
9.779000282287598,3.365999937057495,7.713605880737305,4.3476057052612305
6.182000160217285,2.5959999561309814,5.16765022277832,2.571650266647339
7.590000152587891,2.5299999713897705,6.16423225402832,3.63423228263855
2.1670000553131104,1.2209999561309814,2.325833797454834,1.1048338413238525
7.041999816894531,2.8269999027252197,5.776357650756836,2.949357748031616
10.791000366210938,3.4649999141693115,8.429899215698242,4.964899063110352
5.313000202178955,1.649999976158142,4.552572250366211,2.9025721549987793
7.997000217437744,2.9040000438690186,6.452306747436523,3.548306703567505
5.6539998054504395,2.4200000762939453,4.793931007385254,2.3739309310913086
9.270000457763672,2.940000057220459,7.353336334228516,4.413336277008057
3.0999999046325684,1.2999999523162842,2.986210823059082,1.6862108707427979
Input, Output, y_pred, diff
3.299999952316284,1.7000000476837158,2.8919622898101807,1.1919622421264648
4.400000095367432,2.759999990463257,3.595151901245117,0.8351519107818604
5.5,2.0899999141693115,4.298341274261475,2.208341360092163
6.710000038146973,3.190000057220459,5.071849822998047,1.881849765777588
6.929999828338623,1.694000005722046,5.21248722076416,3.5184872150421143
4.168000221252441,1.5729999542236328,3.446842908859253,1.8738429546356201
9.779000282287598,3.365999937057495,7.033748626708984,3.6677486896514893
